"CONSOLIDATED AND COMPANY STATEMENTS COMPREHENSIVE INCOME FOR THE TWELVE-MONTHS
PERIOD ENDED 31ST MARCH 2024",Column,Column,Column,Column
KES '000,GROUP,,COMPANY,
,MARCH 2024,MARCH 2023,MARCH 2024,MARCH 2023
Trading Business:,,,,
Sales and Other Income,"924,552","909,766","429,712","324,293"
Direct and other operating costs,"630,016","642,689","397,799","291,538"
Gross Profit/(Loss),"294,536","267,077","31,913","32,755"
Administrative and other costs,"249,517","241,885","5,829","17,520"
Profit Before Tax,"45,019","25,192","26,084","15,235"
CONSOLIDATED AND COMPANY STATEMENTS OF FINANCIAL POSITION AS AT 31ST MARCH 2024,,,,
KES '000,GROUP,,COMPANY,
,MARCH 2024,MARCH 2023,MARCH 2024,MARCH 2023
Portfolio Investments,-,-,"428,756","428,756"
Cash and Cash Equivalents,"20,246","48,595","2,061","43,023"
Inventory,"505,541","406,098","5,550","14,558"
Other assets,"2,634,984","2,482,027","132,677","194,076"
Goodwill ( Business combination),-,,"124,500","124,500"
Total Assets,"3,160,771","2,936,720","693,544","804,913"
Borrowings,"635,055","498,453",-,
Other liabilities,"670,056","602,675","22,661","151,906"
Total Liabilities,"1,305,111","1,101,128","22,661","151,906"
Total Equity,"1,855,660","1,835,592","670,883","653,007"
Share Premium,,,,
Total Capital and Liabilities,"3,160,771","2,936,720","693,544","804,913"
