Acquisition target,Valuation Methodology,Description
Air Direct Connect Limited,Asset Accumulation Method,"This approach determines the
business value as the difference
between
the current value of all on-balance
sheet and off-balance sheet business
assets and the current value of all
recorded and contingent liabilities."
"Aviation Management
Solutions Limited","Depreciated replacement cost
approach","This approach values an (im)movable
asset on the basis of the current cost
of replacing it with a modern
equivalent, inclusive of professional
fees, loading and taxes"
Delta Automobile Limited,"Discounted Cashflow (DCF)
approach","The present value of future cashflows
discounted at cost of capital"
Delta Cement Limited,Comparable Sales approach,"This approach determines the value of
an immovable asset based on
precedent transactions of similar
nature (typically within a radius of 10
kilometres from the subject asset)"
