Project Name,Column,Ministry
"Energy Generation of 23,000 MW and distribution",Ministry of Energy and Petroleum,
Development of Dongo Kundu Freeport,Ministry of East African Affairs Commerce and Tourism,
Dredging of Mombasa Port,Ministry of Transport and Infrastructure,
JKIA Expansion and Modernization,Ministry of Transport and Infrastructure,
LAPSSET,Ministry of Transport and Infrastructure,
Standard Gauge Railway,Ministry of Transport and Infrastructure,
