Column,YEAR,Column,2016-17 F,Column,2017-18 F,Column,2018-19 F,Column,2019-20 F,Column,2020 -21 F
,No. of retail outlets,,7,,9,,11,,13,,15
Average number of pairs sold per month,,750,,795,,843,,893,,947,
,Average price of a pair,,"2,000",,"2,120",,"2,247",,"2,382",,"2,525"
No of months,,12,,12,,12,,12,,12,
,Direct cost of sales as percentage of total sales,,45%,,45%,,45%,,45%,,45%
Finance costs for long term loan,,18%,,18%,,18%,,18%,,18%,
,Finance costs for overdraft,,18%,,18%,,18%,,18%,,18%
Corporate tax rate,,30%,,30%,,30%,,30%,,30%,
,Inflation Rate,,6%,,6%,,6%,,6%,,6%
Additional outlets per year,,1,,2,,2,,2,,2,
,Inventory days,,360,,360,,360,,360,,360
Creditor days,,60,,60,,60,,60,,60,
