CONSOLIDATED AND COMPANY STATEMENTS OF FINANCIAL POSITION AS AT 31ST MARCH 2023,Column,Column,Column,Column
KES ‘000,GROUP,,COMPANY,
,MARCH 2023,MARCH 2022,MARCH 2023,MARCH 2022
Portfolio Investments,-,-,"428,756","428,756"
Cash and Cash Equivalents,"48,595","8,764","43,023","4,547"
Inventory,"406,098","402,026","14,558","16,012"
Other assets,"2,482,027","2,344,604","194,076","95,597"
Goodwill ( Business combination),-,,"124,500","124,500"
Total Assets,"2,936,720","2,755,394","804,913","669,412"
Borrowings,"498,453","514,811",-,
Other liabilities,"602,675","429,322","151,906","25,040"
Total Liabilities,"1,101,128","944,133","151,906","25,040"
Total Equity,"1,835,592","1,811,261","653,007","644,372"
Share Premium,,,,
Total Capital and Liabilities,"2,936,720","2,755,394","804,913","669,412"
