KEY RATIOS,Column,March 2013,March 2014,March 2015,March 2016
GP Margin,55% 55% 58% 63%,,,,
NP Margin,2% 11% 4% 5%,,,,
ROE,10% 41% 6% 9%,,,,
ROA,2% 10% 2% 3%,,,,
Current Ratio,1.48 1.98 1.98 2.73,,,,
Quick Ratio,0.25 0.89 0.19 0.65,,,,
