Main Sectors Annual Growth Rate (%),Column,2011,2012,2013,2014
Agriculture and Forestry and Fishing,2.4 2.9 5.2 3.5,,,,
Mining and Quarrying,19.0 19.0 (9.0) 14.2,,,,
Manufacturing,7.2 (0.6) 5.6 3.4,,,,
Electricity Supply,13.3 13.6 9.8 6.8,,,,
"Water Supply, sewerage, waste management",3.6 3.2 0.9 3.6,,,,
Construction,4.0 11.2 5.5 13.1,,,,
"Wholesale and Retail Trade, Repairs",8.3 7.0 8.5 6.9,,,,
Transport and Storage,7.1 2.8 1.3 5.0,,,,
Hotel and Restaurants,4.1 3.1 (4.6) (17.2),,,,
Information and communication,22.0 2.2 12.3 13.4,,,,
Financial and Insurance Activities,4.7 6.0 8.1 8.3,,,,
Real Estate,5.1 4.0 4.1 5.6,,,,
"Professional, scientific and technical activities",1.6 6.2 6.7 3.6,,,,
Administrative and support services activities,2.5 2.3 1.4 2.0,,,,
Public administration and defence,2.5 4.0 3.1 5.5,,,,
Education,7.5 11.6 6.3 7.5,,,,
Human health and social work activities,(2.6) (2.8) 7.7 7.2,,,,
"Arts, entertainment and recreation",3.6 (2.7) 3.0 3.2,,,,
Other service activities,1.1 4.0 7.3 6.5,,,,
Activities of households as employers,1.5 1.5 1.5 1.5,,,,
Financial Industry Services Measured Indirectly,9.1 10.1 5.2 11.2,,,,
All economic activities,5.4 4.3 5.3 5.3,,,,
Taxes on products,12.6 7.7 8.7 5.2,,,,
GDP at market prices,6.1 4.5 5.7 5.3,,,,
