All figures in Kshs,Valuation
Air Direct Connect Limited,"125,000,000.00"
Aviation Management Solutions Limited,"492,514,496.40"
Delta Automobile Limited,"1,043,208,245.00"
Delta Cement Limited,"1,770,000,000.00"
