Main sector share of GDP in %,Column,2011,2012,2013,2014
Agriculture and Forestry,26.3 26.1 26.4 27.3,,,,
Fishing,0.6 0.7 0.6 0.5,,,,
Mining and Quarrying,0.9 1.1 0.8 0.8,,,,
Manufacturing,11.8 11.0 10.7 10.0,,,,
Electricity and Water Supply,1.9 2.0 2.0 1.8,,,,
Construction,4.4 4.5 4.5 4.8,,,,
"Wholesale and Retail Trade, Repairs",8.1 7.8 8.1 8.2,,,,
Hotel and Restaurants,1.3 1.3 1.2 0.9,,,,
Transport and Communication,8.7 9.4 9.6 9.5,,,,
Financial Intermediation,5.7 5.9 6.6 6.7,,,,
"Real Estate, Renting and Business Services",8.1 8.0 7.9 7.8,,,,
Public Administration and Defence,5.6 5.7 5.6 5.6,,,,
Education,5.3 5.4 5.3 5.2,,,,
Health and Social Work,12.0 1.8 1.7 1.8,,,,
Other Services,1.2 1.2 1.1 1.1,,,,
Less: Financial Services Indirectly Measured,(12.4) (2.6) (2.6) (2.5),,,,
All Economic Activities,89.9 89.9 89.9 90.3,,,,
Taxes (less subsidies) on Products,10.1 10.1 10.1 9.7,,,,
GDP at constant market prices,100.0 100.0 100.0 100,,,,
