"2022
KShs‘000","2021
KShs‘000","2022
KShs‘000"
"2,443,570","1,335,050","2,443,570"
"12,395,403","11,473,585","12,395,403"
"10,298,361","9,153,619","10,298,361"
"335,710","322,297","335,710"
"25,473,044","22,284,551","25,473,044"
"279,267","91,949","279,267"
"3,035,381","3,520,146","3,052,393"
"341,395","206,894","341,395"
"34,816","54,696","34,816"
"3,690,859","3,873,685","3,707,871"
"21,782,185","18,410,866","21,765,173"
