Principal Risk Types,How these are managed
"Compliance risk
Potential for regulatory sanctions or loss from a failure on
our part to comply with laws or regulations.","The Group has no appetite for breaches in laws and
regulations. Whilst recognising that regulatory non-
compliance cannot be entirely avoided, the Group strives to
reduce this to an absolute minimum."
"Conduct risk
Risk of detriment to the Group’s clients, investors,
shareholders, market integrity, competition and counter-
parties, or risk of detriment from the inappropriate supply
of financial services, including instances of wilful or
negligent misconduct.","The Group has no appetite for negative Conduct Risk
outcomes arising from negligent or wilful actions by the
Group or individuals recognising that whilst incidents are
unwanted, they cannot be entirely avoided."
"Information and Cyber Security risk
Potential for loss from a breach of confidentiality, integrity
and availability of the Group’s information systems and
assets through cyber-attack, insider activity, error or
control failure.","The Group seeks to avoid risk and uncertainty for our critical
information assets and systems and has a low appetite for
material incidents affecting these or the wider operations and
reputation of the Group."
"Financial Crime risk
Potential for legal or regulatory penalties, material financial
loss or reputational damage resulting from the failure to
comply with applicable laws and regulations relating to
International Sanctions, Anti-Money Laundering and Anti-
Bribery and Corruption.","The Group has no appetite for breaches in laws and
regulations related to Financial Crime, recognising that whilst
incidents are unwanted, they cannot be entirely avoided."
"Country risk
Potential for losses due to political or economic events in a
country.","The Group manages the risk exposures by ensuring
adherence to limits for the size of cross-border exposure set
for each country."
