"Within 12
months","After 12
months",Total
KShs '000,KShs '000,KShs '000
"23,700,451",-,"23,700,451"
157,"4,601,210","4,601,367"
"465,879",-,"465,879"
"2,429,051",-,"2,429,051"
"52,224,628","73,749,962","125,974,590"
"43,019,418","47,995,487","91,014,905"
"1,007,877",-,"1,007,877"
"3,889,531",-,"3,889,531"
"50,759,628","21,232,300","71,991,928"
-,-,-
"222,000",-,"222,000"
-,"3,196,034","3,196,034"
-,"3,898,841","3,898,841"
-,"2,479,484","2,479,484"
"177,718,620","157,153,318","334,871,938"
"383,214",-,"383,214"
"79,532,132","185,936,982","265,469,114"
"359,808",-,"359,808"
"5,420,352",-,"5,420,352"
"2,842,154","6,789,000","9,631,154"
"361,913",-,"361,913"
"32,277",-,"32,277"
"88,931,850","192,725,982","281,657,832"
