CONTENTS,Column,Column
Section,Note,Page
Basis of preparation,1,Reporting entity 61
,2,Accounting policies 61
,3,Financial assets and liabilities 67
Risk Review,4,Financial risk management 82
Performance/return,5,Segmental information 106
,6,Net interest income 111
,7,Net fee and commission income 112
,8,Net trading income 112
,9,Other operating income 113
,10,Operating expenses 113
,11,Profit before taxation 116
,12,Taxation 116
,13,Earnings per ordinary share 118
,14,Dividends 118
Financial assets,15,Cash and balances with Central Bank of Kenya 119
,16,Government and other securities held for trading 119
,17,Derivative financial instruments 120
,18,Loans and advances to banks 121
,19,Loans and advances to customers 122
,20,Investment securities 123
Other assets,21,Other assets 125
Group company balances,22,Group company balances 125
Scope of consolidation,23,Investment in subsidiary undertakings 126
,24,Business combination 127
Non financial assets,25,Non-current asset held for sale 129
,26,Property and equipment 129
,27,Goodwill and intangible assets 133
,28,Prepaid operating lease rentals 135
,29,Deferred tax 135
Financial liabilities,30,Deposits from banks 137
,31,Deposits from customers 137
"Accruals, contingent liabilities
and commitments",32,Other liabilities 137
,33,Contingent liabilities and commitments 138
,34,Future rental commitments under operating leases 140
Employee benefits,35,Retirement benefit obligation 141
Equity and reserves,36,Share capital and reserves 143
Statement of cash flows,37,Statement of cash flows 146
Other disclosure matters,38,Assets pledged as security 147
,39,Fiduciary activities 147
,40,Related party transactions 147
,41,Holding company 148
,42,IFRS 9 Financial instruments 149
