"2025
KShs '000","2024
KShs '000","2025
KShs '000"
"11,571,042","32,339,549","11,571,042"
"10,485,170","818,815","10,485,170"
"565,052","3,231,435","565,052"
"740,884","1,157,643","740,884"
"148,607,362","151,647,379","148,607,362"
"5,699,677",–,"5,699,677"
"96,901,825","98,002,713","96,901,825"
"846,187","1,080,212","714,383"
"5,098,465","6,361,410","4,939,192"
"71,345,065","78,564,954","72,496,753"
–,–,"145,243"
"1,411,120","215,280","1,411,120"
"1,997,689","3,256,272","1,997,689"
"5,243,688","5,516,312","5,243,688"
"2,978,330","2,382,115","2,950,311"
"363,491,556","384,574,089","364,469,391"
"1,280,365","306,862","1,280,365"
"283,451,830","295,690,089","283,451,830"
"1,178,207","1,164,920","1,178,207"
"6,959,865","5,771,847","6,913,709"
"4,272,683","8,087,854","5,405,917"
"28,425","1,742,437",–
–,"33,960",–
"297,171,375","312,797,969","298,230,028"
"9,961,680","9,961,680","9,961,680"
"3,125,455","4,061,220","3,125,455"
"44,457,792","43,688,518","44,376,974"
"8,775,254","14,064,702","8,775,254"
"66,320,181","71,776,120","66,239,363"
"363,491,556","384,574,089","364,469,391"
