Group,Column,Column,Company,Column,Column
"Within 12
months
KShs ‘000","After 12
months
KShs ‘000","Total
KShs ‘000","Within 12
months
KShs ‘000","After 12
months
KShs ‘000","Total
KShs ‘000"
"42,901,755",–,"42,901,755","42,901,755",–,"42,901,755"
"108,712","5,659,756","5,768,468","108,712","5,659,756","5,768,468"
"648,151","276,900","925,051","648,151","276,900","925,051"
"3,957,778",–,"3,957,778","3,957,778",–,"3,957,778"
"84,882,652","78,279,125","163,161,777","84,882,652","78,279,125","163,161,777"
"46,955,446","16,878,754","63,834,200","46,955,446","16,878,754","63,834,200"
"1,185,327",–,"1,185,327","1,052,843",–,"1,052,843"
"6,124,762",–,"6,124,762","6,047,186",–,"6,047,186"
"127,963,199","1,290,411","129,253,610","128,389,353","1,286,052","129,675,405"
–,–,–,"145,243",–,"145,243"
"198,600",–,"198,600","198,600",–,"198,600"
–,"2,969,518","2,969,518",–,"2,969,518","2,969,518"
–,"5,016,586","5,016,586",–,"5,016,586","5,016,586"
–,"3,664,743","3,664,743",–,"3,624,868","3,624,168"
"314,926,382","114,035,793","428,962,175","315,287,719","113,991,559","429,278,578"
"4,327,045",–,"4,327,045","4,327,045",–,"4,327,045"
"342,727,868","125,373","342,853,241","342,727,868","125,373","342,853,241"
"844,595","265,246","1,109,841","844,595","265,246","1,109,841"
"9,333,178",–,"9,333,178","9,312,375",–,"9,312,375"
"9,757,711",–,"9,757,711","10,368,876",–,"10,368,876"
"48,892",–,"48,892","48,892",–,"48,892"
"367,039,289","390,619","367,429,908","367,629,651","390,619","368,020,270"
