2024,Column,Column,Column,Column
USD,Euro,GBP,Other,Total
"566,201","161,646","241,512","533,287","1,502,646"
"27,514,301","15,407,377","257,045",-,"43,178,723"
"2,877,820","629,480","157,447","2,483","3,667,230"
"60,712,530","8,919,154","3,644,560","3,390,375","76,666,619"
"91,670,852","25,117,657","4,300,564","3,926,145","125,015,218"
"71,568","3,124",-,–,"74,692"
"94,316,677","10,946,273","4,287,110","397,215","109,947,275"
"296,135","3,428","5,944",–,"305,508"
"3,907,058",–,–,"3,138,252","7,045,310"
"99,221,657","10,958,815","4,307,838","3,909,719","118,398,029"
"(7,550,805)","14,158,842","(7,274)","16,426","6,617,189"
