Area of Focus,"Key Issues
The Committee:"
"Credit
Portfolio
Performance","• Reviewed the quality of the loan portfolio to ensure compliance with
requirements of the Central Bank of Kenya Prudential Guidelines.
• Reviewed and approved delegation of lending limits to the sanctioning
arms of the Bank.
• Discussed the concentration risk by industry and portfolio segments and
ensured an appropriate balance was maintained.
• Received updates from the Stressed Assets Group and Stressed Assets Risk
(previously the Group Special Assets Management) teams."
"Review of Credit
Policies, Standards
and Portfolio
Guidelines","• Reviewed the Company’s credit policies, standards and portfolio guidelines
aligned with regulatory requirements and aimed at ensuring continued
growth in the lending book and made recommendations to the Board."
"Loan
Impairment","• Provided oversight on loan impairments in line with the Central Bank of
Kenya Prudential Guidelines.
• Received and reviewed quarterly reports on workout plans developed for
problematic assets."
"Deep Dive
into various
Topics","• The Committee considered strategies towards delivering growth of the
credit portfolio in the following areas: Financial Institutions/Banks; Medium
Enterprises, Mobile Lending and the Petroleum Sector. This also aided the
Committee to anticipate potential risks and opportunities within the credit
portfolio.
• The Committee also held deeper discussions on the impact of credit risk
appetite on asset growth in WRB; loan book pipeline vis-a-vis the Bank’s
capital adequacy; and the impact of floods on the credit portfolio."
