"Corporate &
Institutional
Banking",Commercial Banking,"Retail
Banking","Central and other
items",Total
KShs million,KShs million,KShs million,KShs million,KShs million
"33,552","22,761","71,483","198,077","325,873"
"27,293","22,750","71,481",-,"121,524"
"100,223","25,669","140,153","9,612","275,657"
"93,468","25,541","137,489",-,"256,498"
470,127,675,236,"1,508"
68,57,976,584,"1,685"
