Column,Meeting Attendance,Responsibilities
"Chairperson
Kellen Kariuki",7/7,"Responsible for leading the Board, ensuring its effectiveness
in all aspects of its role, and developing the Company’s
culture in conjunction with the CEO. Promotes high
standards of integrity and governance across the Company,
and ensures effective communication between the Board,
management, shareholders, and wider stakeholders."
Independent Non-Executive Directors,,
C. Adeya*,7/7,"Provide an independent perspective, constructive challenge
and monitor the performance and delivery of the strategy
within the risk appetite and controls set by the Board."
D. Ong’olo,7/7,
N. Sharma,6/7,
R. Mbugua**,3/3,
Non-Executive Directors,,
R. Etemesi,7/7,"Enhance the effectiveness of the Board through knowledge
and experience of SCB Group and bring the broader Group
context to Board discussions and provide the underlying
rationale to facilitate the decision making of Independent
Non-Executive Directors."
J. Browne*,7/7,
Executive Directors,,
K. Ngari,7/7,"Responsible for the management of all aspects of
the Company’s businesses, developing the strategy in
conjunction with the Chairperson and the Board and leading
its implementation."
C. Murgor,7/7,"Responsible for Finance, Corporate Treasury, Strategy, the
Company’s Corporate Development, and Investor Relations."
P. Gitau*,5/7,"Responsible for the Company’s operations and technology
delivery."
B. Sanghrajka,7/7,"Responsible for client coverage in the Corporate and
Investment Banking Business."
