Number of shares (‘000),%
"279,195,109",73.89
"3,884,493",1.03
"3,228,392",0.85
"2,506,864",0.66
"1,882,961",0.5
"1,630,747",0.43
"1,597,200",0.42
"1,188,968",0.31
"868,925",0.23
"776,864",0.21
"81,090,066",21.47
"377,850,589",100.00
