"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000"
"429,326","3,177,188","429,326"
"229,380","270,705","229,380"
"152,560","182,320","152,560"
"111,345","111,587","111,345"
"922,611","3,741,800","922,611"
"4,849,236","5,591,378","4,822,794"
"4,849,236","5,591,378","4,822,794"
"5,771,847","9,333,178","5,745,405"
