Group,Column,Column,Company,Column,Column
"Within 12 months
KShs '000","After 12 months
KShs '000","Total
KShs '000","Within 12 months
KShs '000","After 12 months
KShs '000","Total
KShs '000"
"11,571,042",–,"11,571,042","11,571,042",–,"11,571,042"
"10,485,170",-,"10,485,170","10,485,170",-,"10,485,170"
"491,265","73,787","565,052","491,265","73,787","565,052"
"740,884",–,"740,884","740,884",–,"740,884"
"66,664,730","81,942,632","148,607,362","66,664,730","81,942,632","148,607,362"
"5,699,677",–,"5,699,677","5,699,677",–,"5,699,677"
"96,901,825",–,"96,901,825","96,901,825",–,"96,901,825"
"846,187",–,"846,187","714,383",–,"714,383"
"5,098,465",–,"5,098,465","4,939,192",–,"4,939,192"
"27,885,869","43,459,196","71,345,065","29,037,557","43,459,196","72,496,753"
–,–,–,"145,243",–,"145,243"
"1,411,120",–,"1,411,120","1,411,120",–,"1,411,120"
–,"1,997,689","1,997,689",–,"1,997,689","1,997,689"
–,"5,243,688","5,243,688",–,"5,243,688","5,243,688"
–,"2,978,330","2,978,330",–,"2,950,311","2,950,311"
"227,796,234","135,695,322","363,491,556","228,802,088","135,667,303","364,469,391"
"1,280,365",–,"1,280,365","1,280,365",–,"1,280,365"
"282,844,050","607,780","283,451,830","282,844,050","607,780","283,451,830"
"394,416","783,791","1,178,207","394,416","783,791","1,178,207"
"6,959,865",–,"6,959,865","6,913,709",–,"6,913,709"
"4,272,683",–,"4,272,683","5,405,917",–,"5,405,917"
"28,425",–,"28,425",–,–,–
–,–,–,–,–,–
"295,779,804","1,391,571","297,171,375","296,838,457","1,391,571","298,230,028"
