Premises,"Equipment
& motor
vehicles",Right-of-use assets,Column,Total
,,"Leased
land","Leased
premises",
KShs '000,KShs '000,KShs '000,KShs '000,KShs '000
"4,840,647","2,990,821","277,578","689,140","8,798,186"
"82,266","72,637",-,"109,044","263,947"
"(139,936)","(431,307)",-,"(225,800)","(797,043)"
"4,782,977","2,632,151","277,578","572,384","8,265,090"
"2,557,916","2,343,033","45,802","217,493","5,164,244"
"210,609","197,909","2,927","142,502","553,947"
"(112,883)","(427,408)",-,"(108,844)","(649,135)"
"2,655,642","2,113,534","48,729","251,151","5,069,056"
"2,127,335","518,617","228,849","321,233","3,196,034"
