"Weighted
average
effective
interest
rate (%)","Up to 1
month","1 – 3
months","3 - 12
months","1 – 5
years","Over
5 years","Non-interest
bearing",Total
6.71,"5,501",-,-,-,-,"15,118","20,619"
10.26,-,"1,980",-,80,"2,783",106,"4,949"
-,-,-,-,-,-,739,739
6.28,"7,350",-,-,-,-,183,"7,533"
9.58,"18,608","10,989","6,795","40,665","37,469","6,998","121,524"
9.64,"3,944","15,442","46,429","21,222","7,000",815,"94,852"
-,-,-,-,-,-,784,784
1.50,"11,192","23,374","12,558","7,600",-,"8,381","63,105"
,"46,595","51,785","65,782","69,567","47,252","33,124","314,105"
0.51,454,-,-,-,-,-,454
3.67,"64,221","7,260","16,594",167,2,"168,254","256,498"
-,-,-,-,-,-,648,648
-,-,-,-,-,-,317,317
0.30,-,-,"1,092","4,368","2,184","3,565","11,209"
,"64,675","7,260","17,686","4,535","2,186","172,784","269,126"
,"(18,080)","44,525","48,096","65,032","45,066","(139,660)","44,979"
