OTHER DISCLOSURES,BANK
,30.06.2020
,KShs. 000
,Un-audited
,"20,902,985"
,"8,287,008"
,"12,615,977"
,"8,064,247"
,"4,551,730"
,"3,319,354"
,"1,232,376"
,"91,250"
,"6,503,774"
,"6 ,595,024"
,"58,767,950"
,"57,432,884"
,"116,200,834"
,"40,128,004"
,"1,000,000"
,"39,128,004"
,"6,832,330"
,"46,960,334"
,"254,848,969"
,15.64%
,8.00%
,7.64%
,15.75%
,10.50%
,5.25%
,18.43%
,14.50%
,3.93%
,15.69%
,15.79%
,18.47%
,66.77%
,20.00%
,46.77%
