Area of Focus,"Key Issues
The Committee:"
People,"• Received reports on employee wellness as well as progress on implementation
of wellness initiatives. The Committee also oversaw delivery of the Engage to
Elevate series.
• Interviewed candidates for senior positions and made recommendations to the
Board as appropriate."
Governance,"Undertook the following governance activities and recommended Board approval:
• Considered and discussed material updates to the Board and Board Committee
Terms of Reference.
• Reviewed and recommended the revised Stakeholder Engagement Policy for
Board approval.
• Developed the Annual Work Plan/Key Performance Indicators for the Board for
the year 2025.
• Reviewed the Stakeholder Engagement Plan for the Board and Board Chairperson
for the year 2024.
• Reviewed the Directors Report and other corporate governance disclosures
included in the Annual Report.
• Considered the revised Subsidiary Governance Policy and Subsidiary Governance
Standard for Banking Subsidiaries and recommended their adoption for Board
approval."
"Corporate
Governance
Regulatory
Requirements","• Considered Capital Markets (Public Offers, Listings and Disclosures) Regulations,
2023 and discussed the impact to the Company’s corporate governance
framework.
• Received and discussed the CMA report relating to the Company’s CMA
assessment of implementation of the CMA Code of Corporate Governance in the
year ended 31 December 2023 and made appropriate recommendations to the
Board."
"Review of
the Directors
Remuneration
Report and
Remuneration
Framework for
the workforce","• The Committee steered the process of reviewing the Directors Remuneration
Report ensuring alignment with regulatory requirements and the Company’s
objectives. Additionally, the Committee reviewed and endorsed the remuneration
framework for employees, ensuring it was fair, competitive, and aligned with the
Company’s goals."
"Board and
Committee
Effectiveness
Review","• Reviewed and provided input on the Board and Board Committee Effectiveness
questionnaires.
• Provided oversight of the Board and Committees evaluation and monitored
progress against the 2023 Action Plan which addressed the key observations from
the 2022 effectiveness review and ensured completeness.
• Discussed the observations and recommendations which flowed from the 2024
internally facilitated Board and Committees’ review and recommended to the
Board the Action Plan for implementation."
