Principal risk types,How these are managed
"Credit risk
Potential for loss due to the failure of a counterparty to
meet its agreed obligations to pay the Group.","The Group manages its credit exposures following the
principle of diversification across products, client segments
and industry sectors."
"Traded risk
Potential for loss of economic value due to adverse
changes in financial market rates or prices.","The Group controls its trading portfolio and activities to
ensure that market risk losses (financial or reputational) do
not cause material damage to the Group’s franchise."
"Capital & Liquidity risk
Capital: potential for insufficient level or composition of
capital to support our normal activities.
Liquidity: potential for failure where we may not have
sufficient stable or diverse sources of funding or financial
resources to meet our obligations as they fall due.","The Group maintains a strong capital position including the
maintenance of management buffers sufficient to support
its strategic aims and holds an adequate buffer of high
quality liquid assets to survive extreme but plausible liquidity
stress scenarios for at least 60 days without recourse to
extraordinary central bank support."
