CONTENTS,Column,Column,Column
Section,Notes,,Page
Basis of preparation,1,Reporting entity,114
,2,Significant accounting policies,114
,3,Financial assets and liabilities,117
Risk Review,4,Financial risk management and capital review,129
Performance/return,5,Segmental information,166
,6,Net interest income,168
,7,Net fee and commission income,169
,8,Net trading income,172
,9,Dividend income,172
,10,Other operating income,172
,11,Operating expenses,172
,12,Profit before tax,174
,13,Tax,175
,14,Earnings per ordinary share,176
,15,Dividends,177
Financial assets,16,Cash and balances with Central Bank of Kenya,177
,17,Government and other securities held at FVTPL,178
,18,Derivative financial instruments,178
,19,Loans and advances to banks and customers,180
,20,Government and other securities held at FVOCI,181
Other assets,21,Other assets,181
Group company balances,22,Group company balances,182
Scope of consolidation,23,Investment in subsidiary undertakings,182
,24,Business combination,183
Non- financial assets,25,Non-current assets held for sale,184
,26,Property and equipment,185
,27,Goodwill and intangible assets,188
,28,Deferred tax,190
Financial liabilities,29,Deposits from banks,192
,30,Deposits from customers,192
"Accruals, contingent liabilities and commitments",31,Other liabilities,192
,32,Contingent liabilities and commitments,193
,33,Leases,194
Employee benefits,34,Retirement benefit obligations,196
Equity and reserves,35,Share capital and reserves,198
Statement of cash flows,36,Statement of cash flows,201
Other disclosure matters,37,Assets pledged as security,202
,38,Fiduciary activities,202
,39,Related party transactions,203
,40,Holding company,204
,41,"Maturity analysis of assets and liabilities current/
non-current distinction",205
,42,Events after period end,206
