"2024
KShs '000","2023
KShs '000","2024
KShs '000"
"1,185,327","1,022,677","1,052,843"
–,"(2,655,065)",–
"1,185,327","(1,632,388)","1,052,843"
"(7,722,532)","(5,471,415)","(7,243,590)"
"(5,589)","93,825","(59,176)"
"5,880,569","8,195,305","5,623,888"
"(662,225)","1,185,327","(626,035)"
"1,080,212","1,185,327","961,104"
"(1,742,437)",–,"(1,587,139)"
"(662,225)","1,185,327","(626,035)"
