Column,"Weighted
average
effective
interest
rate %","Up to 1
month","1 –3
months","3 –12
months","1 –5
years","Over
5 years","Non-
interest
bearing",Total
"ASSETS
Cash and balances
with Central Bank of Kenya
Government and
other securities held at FVTPL
Derivative financial
instruments
Loans and advances
to banks
Loans and advances
to customers
Investment securities
Other assets –
uncleared effects
Amounts due from
group companies","–
6.81
–
4.54
9.46
11.34
–
2.24","–
–
394
4,729
15,140
5,502
–
23,503","–
58
–
–
4,415
16,000
–
–","–
1,727
–
–
7,683
46,302
–
5,095","–
2,208
–
1,287
49,631
24,423
–
–","–
–
–
–
37,120
1,000
–
–","20,283
(56)
–
–
4,663
537
1,146
3,141","20,283
3,937
394
6,016
118,652
93,764
1,146
31,739"
,,"49,268","20,473","60,807","77,549","38,120","29,714","275,931"
"LIABILITIES
Deposits from banks
Deposits from customers
Derivative financial
instruments
Other financial liabilities
–Bills payable
Amounts due to
group companies","0.50
2.32
–
–
5.54","156
72,409
226
–
185","–
21,413
–
–
–","–
7,141
–
–
–","–
2,851
–
–
2,038","–
–
–
–
4,076","–
120,470
–
713
2,248","156
224,284
226
713
8,547"
,,"72,976","21,413","7,141","4,889","4,076","123,431","233,926"
"Interest rate
sensitivity gap",,"(23,708)",(940),"53,666","72,660","34,044","(93,717)","42,005"
