"2022
KShs‘000","2021
KShs‘000","2022
KShs‘000",Column
"23,257,306","23,700,451","23,257,306","23,700,451"
"986,931","4,601,367","986,931","4,601,367"
"400,494","465,879","400,494","465,879"
"428,089","2,429,051","428,089","2,429,051"
"139,412,560","125,974,590","139,412,560","125,974,590"
"104,731,162","91,014,905","104,731,162","91,014,905"
"1,022,677","1,007,877","913,568","913,568"
"3,495,946","3,889,531","3,439,658","3,828,722"
"96,121,186","71,991,928","96,602,123","72,303,668"
-,-,"145,243","145,243"
"222,000","222,000","222,000","222,000"
"2,960,732","3,196,034","2,960,732","3,196,034"
"4,103,224","3,898,841","4,103,224","3,898,841"
"4,117,708","2,479,484","4,027,556","2,417,167"
"381,260,015","334,871,938","381,630,646","335,111,486"
"13,480,464","383,214","13,480,464","383,214"
"278,879,309","265,469,114","278,879,309","265,469,114"
"319,575","359,808","319,575","359,808"
"16,975,059","5,420,352","16,960,086","5,398,074"
"12,717,385","9,631,154","13,459,665","10,714,736"
"2,655,065","361,913","2,654,111","274,868"
"96,428","32,277","96,428","32,277"
"325,123,285","281,657,832","325,849,638","282,632,091"
"9,961,680","9,961,680","9,961,680","9,961,680"
"4,201,995","4,576,794","4,201,995","4,576,794"
"35,842,755","33,301,033","35,487,033","32,566,322"
"6,130,300","5,374,599","6,130,300","5,374,599"
"56,136,730","53,214,106","55,781,008","52,479,395"
"381,260,015","334,871,938","381,630,646","335,111,486"
