2022,Column,Column,Column,Column
USD,Euro,GBP,Other,Total
"1,385,916","90,156","109,347","234,624","1,820,043"
"41,029,363","2,340,986","602,605","15,012","43,987,966"
"2,137,437","9,868","1,014,213","33,431","3,194,949"
"67,777,847","7,974,779","4,878,274","1,024,282","81,655,182"
"112,330,563","10,415,789","6,604,439","1,307,349","130,658,140"
"5,249","9,165","29,728",-,"44,142"
"96,789,520","10,340,917","6,734,119","365,670","114,230,226"
"4,413,721","201,966","1,043,051","687,557","6,346,295"
"12,954,558",-,-,"777,757","13,732,315"
"114,163,048","10,552,048","7,806,898","1,830,984","134,352,978"
"(1,832,485)","(136,259)","(1,202,459)","(523,635)","(3,694,838)"
