Goodwill,"Acquired
intangible
asset","Computer
software",Total
"1,112,111","3,707,038","5,189,468","10,008,617"
-,-,"1,137,471","1,137,471"
-,-,"(150,735)","(150,735)"
-,-,,-
"1,112,111","3,707,038","6,176,204","10,995,353"
-,"3,707,038","2,402,738","6,109,776"
-,,"820,529","820,529"
-,-,"(38,176)","(38,176)"
-,-,,-
-,"3,707,038","3,185,091","6,892,129"
"1,112,111",-,"2,991,113","4,103,224"
