"Basic
pay",Bonus,"Deferred
cash
awards","Share
based
awards","Non-cash
benefits",Pension,"Fees
retainer","Sitting
allowance",Total
"51,188","35,640","11,880","11,880","4,040","6,940",-,-,"121,568"
"31,782","14,375",-,-,125,"3,886",-,-,"50,168"
"32,040","12,495",-,-,125,"3,906",-,-,"48,566"
"37,133","26,704","4,293","4,293",125,"4,420",-,-,"76,968"
"152,143","89,214","16,173","16,173","4,415","19,152",-,-,"297,270"
,-,-,-,-,-,"3,700","2,085","5,785"
-,-,-,-,-,-,"1,680","2,365","4,045"
-,-,-,-,-,-,"1,680","1,615","3,295"
-,-,-,-,-,-,"1,680","1,610","3,290"
-,-,-,-,-,-,"1,680","1,965","3,645"
-,-,-,-,-,-,"1,680","3,035","4,715"
-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"12,100","12,490","24,590"
"152,143","89,214","16,173","16,173","4,415","19,152","12,100","12,675","322,045"
