Level 1,Level 2,Level 3,Total,Level 1,Level 2,Level 3,Total
-,"4,927",22,"4,949",-,"4,927",22,"4,949"
-,739,-,739,-,739,-,739
-,"94,852",-,"94,852",-,"94,852",-,"94,852"
-,"100,518",22,"100,540",-,"100,518",22,"100,540"
-,648,-,648,-,648,-,648
-,648,-,648,-,648,-,648
