"Up to 1
month","1 – 3
months","3 – 12
months","1 – 5
years","Over 5
years",Total
454,-,-,-,-,454
"232,396","7,135","16,930",744,8,"257,213"
648,-,-,-,-,648
312,-,-,-,-,312
-,-,134,395,-,529
"3,663",-,"1,092","6,552",-,"11,307"
-,-,"1,033",-,-,"1,033"
"237,473","7,135","19,189","7,791",8,"271,596"
