CCIB,CPBB,Total
KShs '000,KShs '000,KShs '000
"87,654,054","66,588,406","154,242,460"
"3,346,818","3,524,244","6,871,062"
"7,210,820","4,612,274","11,823,094"
"98,211,692","74,724,924","172,936,616"
"(6,396,045)","(3,378,794)","(9,774,839)"
"91,815,647","71,346,130","163,161,777"
77.6,46.3,65.4
