2023,Column,Column,Column
"Corporate,
Commercial &
Institutional
Banking","Consumer,
Private &","Central &
other items",Total
"10,971,727","13,534,147","4,336,873","28,842,747"
"8,051,102","6,368,304","(3,193,325)","11,226,081"
"19,022,829","19,902,451","1,143,548","40,068,828"
"(7,406,459)","(9,293,950)","(707,416)","(17,407,825)"
"11,616,370","10,608,501","436,132","22,661,003"
"(2,045,961)","(918,143)","(253,891)","(3,217,995)"
"(5,748)","(39,471)","(30,901)","(76,120)"
"9,564,661","9,650,887","151,340","19,366,888"
