"At
1 January 2023",Awarded,Exercised,Lapsed,"At 31
December
2023","Vesting
date"
"31,369","13,358","(13,245)",-,"31,482",14 March 2027
"36,008",-,-,-,"36,008",15 March 2024
"1,558",1530,"(1,558)",-,"1,530",1 December 2026
"2,607",4619,"(1,889)",(123),"5,214",15 March 24
"3,613",71,"(1,776)",-,"1,908",1 February 2026
945,765,(319),-,"1,391",15 March 24
379,497,(385),-,491,9 March 2023
