"Within
12 months
KShs
million","After 12
months
KShs
million","Total
KShs
million","Within
12 months
KShs
million","After 12
months
KShs
million","Total
KShs
million"
"20,619",-,"20,619","20,619",-,"20,619"
"1,980","2,969","4,949","4,949",-,"4,949"
739,-,739,739,-,739
"7,533",-,"7,533","7,533",-,"7,533"
"50,748","70,776","121,524","50,748","70,776","121,524"
"65,815","29,037","94,852","65,815","29,037","94,852"
441,-,441,340,-,340
"2,776",-,"2,776","2,735",-,"2,735"
"47,773","14,984","62,757","48,121","14,984","63,105"
-,-,-,-,141,141
222,-,222,222,-,222
-,"3,634","3,634",-,"3,634","3,634"
-,"3,023","3,023",-,"3,023","3,023"
-,"2,536","2,536",-,"2,457","2,457"
"198,646","126,959","325,605","201,821","124,052","325,873"
454,-,454,454,-,454
"88,242","168,256","256,498","88,242","168,256","256,498"
648,-,648,648,-,648
"5,741",-,"5,741","5,726",-,"5,726"
"1,092","10,117","11,209","1,092","10,117","11,209"
-,-,-,958,-,958
164,-,164,164,-,164
"96,341","178,373","274,714","97,284","178,373","275,657"
