Balance Sheet (highlights),FY’23,FY’22,YoY
Assets,,,
Balances due from CBK,38.9,19.8,96%
Investment in government securities,69.6,105.7,(34%)
Group balances,129.3,96.1,35%
Loans and advances-LCY,112.8,95.1,19%
Loans and advances-FCY,50.4,44.3,14%
Net Loans and Advances to customers,163.2,139.4,17%
Total Assets,429.0,381.3,13%
Liabilities,,,
Customer deposits-LCY,186.4,164.8,13%
Customer deposits-FCY,156.5,114.1,37%
Customer deposits,342.9,278.9,23%
Balances due to CBK,-,7,(100%)
Balances due to banks,4.3,10.8,(60%)
Total Liabilities,429.0,381.3,13%
Key ratios (%),,,
LCY Asset Deposit ratio,60.5%,57.7%,2.8%
FCY Assets Deposit ratio,32.2%,38.8%,(6.6%)
Liquidity ratio,66.3%,73.0%,(6.8%)
NPL Ratio,9.7%,14.3%,(4.6%)
