"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000"
"6,231,011","5,972,412","6,231,011"
"22,703,558","18,011,898","22,703,558"
"9,755,403","8,267,420","9,755,403"
"125,712","100,439","125,712"
"38,815,684","32,352,169","38,815,684"
,"270,149",
"984,972",,"984,972"
"4,531,170","3,057,272","4,553,666"
–,"146,165",–
"34,239","34,175","34,239"
"5,550,381","3,507,761","5,572,877"
"33,265,303","28,844,408","33,242,807"
