"2025
KShs ‘000","2024
KShs ‘000","2025
KShs ‘000"
"16,836,694","28,208,236","16,414,028"
"5,051,008","8,462,471","4,924,208"
"(507,822)","(662,095)","(1,036,955)"
"208,313","325,209","242,639"
"(31,469)","5,589","(32,284)"
"(319,907)","16,475","(312,348)"
"4,400,123","8,147,649","3,785,260"
