Liabilities at fair value,Column,Column,Column
Trading,"Total
financial
liabilities at
fair value","Amortised
cost",Total
"1,164,920","1,164,920",–,"1,164,920"
–,–,"306,862","306,862"
–,–,"295,690,089","295,690,089"
–,–,"429,326","429,326"
–,–,"229,380","229,380"
–,–,"152,560","152,560"
–,–,"111,345","111,345"
–,–,"9,174,388","9,174,388"
"1,164,920","1,164,920","306,093,950","307,258,870"
