Cost,Column
"At 1 January 3,707 1,112 781 5,600",
Additions – – 3 3,
Additions,3 3
"At 31 December 3,707 1,112 784 5,603",
"Amortisation
At 1 January 2,797 – 582 3,379
Charge for the year 287 – 107 394",
"At 31 December 3,084 – 689 3,773",
Carrying amount,
"At 31 December 623 1,112 95 1,830",
