Actual,Average,High,Low
"KShs
'000","KShs
'000","KShs
'000","KShs
'000"
"10,106","6,389","16,306","1,636"
"57,104","80,606","102,032","47,424"
"9,757","14,190","31,104","5,721"
"76,967","101,185","149,442","54,781"
