At 1 January,"Recognised in
the income
statement
current year","Recognised in
other
comprehensive
income",At 31 December
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"193,550","(2,241)",-,"191,309"
"(5,158)","5,158",-,-
"761,215","(198,922)",-,"562,293"
"580,068","357,845",-,"937,913"
"91,893","(91,893)",-,-
"(336,108)","4,427",-,"(331,681)"
"(129,172)",-,"570,107","440,935"
"79,732","8,537",-,"88,269"
"141,490","52,928",-,"194,418"
"1,087,483","888,869","28,972","2,005,324"
"14,491","(2,699)","17,136","28,928"
"2,479,484","1,022,009","616,215","4,117,708"
