2022,Column,Column,Column,Column,Column,Column
,Customers,,,,,
Banks,"Corporate,
Commercial &
Institutional
Banking","Consumer,
Private &
Business
Banking","Central &
other
items",Customer Total,"Undrawn
commitments","Financial
guarantees
and letters of
credit"
"430,551","66,881,168","66,491,485",-,"133,372,653","32,196,812","69,437,033"
-,"9,201,222",-,-,"9,201,222","17,264,444","56,903,927"
"430,551","57,679,946","66,491,485",-,"124,171,431","14,932,368","12,533,106"
-,"201,239","2,078,120",-,"2,279,359","4,634,218","1,533,382"
-,"73,948",-,-,"73,948","153,660","363,086"
-,"50,310","51,953",-,"102,263","3,692,313","1,024,137"
-,"76,981","2,026,167",-,"2,103,148","788,245","146,159"
-,"201,239","54,231",-,"255,470",-,-
-,-,"2,023,889",-,"2,023,889",-,-
-,"8,774,418","4,263,824",-,"13,038,242",-,"170,184"
"430,551","75,856,825","72,833,429",-,"148,690,254","36,831,030","71,140,599"
"(2,462)","(75,827)","(1,694,694)",-,"(1,770,521)","(42,644)","(10,213)"
(58),"(36,218)","(1,126,679)",-,"(1,162,897)","(22,853)","(2,457)"
"(2,404)","(39,609)","(568,015)",-,"(607,624)","(19,791)","(7,756)"
-,"(191,829)","(1,089,526)",-,"(1,281,355)","(36,151)","(5,318)"
-,-,-,-,-,(206),(407)
-,"(47,572)",-,-,"(47,572)","(35,240)","(3,967)"
-,"(144,257)","(1,089,526)",-,"(1,233,783)",(705),(944)
-,"(4,169,708)","(2,056,110)",-,"(6,225,818)",-,"(8,985)"
"(2,462)","(4,437,364)","(4,840,330)",-,"(9,277,694)","(78,795)","(24,516)"
"428,089","71,419,461","67,993,099",-,"139,412,560",,
0.6%,0.1%,2.5%,0.0%,1.3%,0.1%,0.0%
0.0%,0.4%,0.0%,0.0%,12.6%,0.1%,0.0%
0.6%,0.1%,0.9%,0.0%,0.5%,0.1%,0.1%
0.0%,95.3%,52.4%,0.0%,56.2%,0.8%,0.3%
0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%
0.0%,94.6%,0.0%,0.0%,46.5%,1.0%,0.4%
0.0%,187.4%,53.8%,0.0%,58.7%,0.1%,0.6%
0.0%,47.5%,48.2%,0.0%,47.8%,0.0%,5.3%
0.6%,5.8%,6.6%,0.0%,6.2%,0.2%,0.1%
"428,089","71,419,461","67,993,099",-,"139,412,560",-,-
