"Treasury bonds
KShs ‘000","Equity shares 2
KShs ‘000","Total
KShs ‘000"
"965,720","21,211","986,931"
"18,180,925",–,"18,180,925"
"(13,489,971)",–,"(13,489,971)"
–,"6,761","6,761"
"83,822",–,"83,822"
"5,740,496","27,972","5,768,468"
