"Within 12
months
KShs‘000","After 12
months
KShs‘000","Total
KShs‘000","Within 12
months
KShs‘000","After 12
months
KShs‘000","Total
KShs‘000"
"23,257,306",-,"23,257,306","23,257,306",-,"23,257,306"
"23,981","962,950","986,931","23,981","962,950","986,931"
"400,494",-,"400,494","400,494",-,"400,494"
"428,089",-,"428,089","428,089",-,"428,089"
"73,914,149","65,498,411","139,412,560","73,914,149","65,498,411","139,412,560"
"63,976,120","40,755,042","104,731,162","63,976,120","40,755,042","104,731,162"
"1,022,677",-,"1,022,677","913,568",-,"913,568"
"3,495,946",-,"3,495,946","3,439,658",-,"3,439,658"
"76,182,011","19,939,175","96,121,186","76,186,370","20,415,753","96,602,123"
-,-,-,"145,243",-,"145,243"
"222,000",-,"222,000","222,000",-,"222,000"
-,"2,960,732","2,960,732",-,"2,960,732","2,960,732"
-,"4,103,224","4,103,224",-,"4,103,224","4,103,224"
-,"4,117,708","4,117,708",-,"4,027,556","4,027,556"
"242,922,773","138,337,242","381,260,015","242,906,978","138,723,668","381,630,646"
"13,480,464",-,"13,480,464","13,480,464",-,"13,480,464"
"278,203,602","675,707","278,879,309","278,203,602","675,707","278,879,309"
"319,575",-,"319,575","319,575",-,"319,575"
"16,975,060",-,"16,975,060","16,960,086",-,"16,960,086"
"7,755,648","4,961,737","12,717,385","8,497,928","4,961,737","13,459,665"
"2,655,065",-,"2,655,065","2,654,111",-,"2,654,111"
"96,428",-,"96,428","96,428",-,"96,428"
"319,485,842","5,637,444","325,123,286","320,212,194","5,637,444","325,849,638"
