Column,Fair value,Column,Column,Column
"Carrying value
KShs ‘000","Level 1
KShs ‘000","Level 2
KShs ‘000","Level 3
KShs ‘000","Total
KShs ‘000"
"11,571,042",–,"11,571,042",–,"11,571,042"
"740,884",–,"740,884",–,"740,884"
"148,607,362",–,–,"148,607,362","148,607,362"
"71,345,065",–,–,"71,345,065","71,345,065"
"4,525,417",–,"4,525,417",–,"4,525,417"
"236,789,770",–,"16,837,343","219,952,427","236,789,770"
"1,280,365",–,"1,280,365",–,"1,280,365"
"283,451,830",–,–,"283,451,830","283,451,830"
"4,272,683",–,–,"4,272,683","4,272,683"
"499,892",–,–,"499,892","499,892"
"426,245",–,–,"426,245","426,245"
"1,042,923",–,–,"1,042,923","1,042,923"
"455,213",–,–,"455,213","455,213"
"291,429,151",–,"1,280,365","290,148,786","291,429,151"
