Lines of Defence,Definition,Key responsibilities include
1st,"The businesses and functions
engaged in or supporting
revenue generating activities
that own and manage risks.","− Propose the risks required to undertake the revenue
generating activities.
− Identify, monitor and escalate risks and issues to the
Second Line and senior management and promote a
healthy risk culture and good conduct.
− Manage risks within Risk Appetite and ensure laws and
regulations are being complied with.
− Ensure systems meet risk data aggregation, risk
reporting and data quality requirements set by the
Second Line."
2nd,"The control functions
independent of the First Line
that provide oversight and
challenge of risk management
to provide confidence to the
Head of Risk, the management
team and the Board.","− Review First Line risk proposals and make decisions to
approve or reject as appropriate.
− Oversee and challenge First Line risk taking activities.
− Own processes for setting Risk Type Frameworks,
Policies and Standards, and monitoring compliance.
− Own and manage processes for oversight and
challenge.
− Propose Risk Appetite to the Board, monitor and report
adherence to Risk Appetite.
− Intervene to curtail business if it is not in line with existing
or adjusted Risk Appetite."
3rd,"The independent assurance
provided by the Internal Audit
Function, of the effectiveness
of controls that support First
Line’s risk management of
business activities, and the
processes maintained by the
Second Line. Its role is defined
and overseen by the Board
Audit Committee.","− Independently assess whether management has
identified the key risks in the business and whether these
are reported and governed in line with the established
risk management processes.
− Independently assess the adequacy of the design of
controls and their operating effectiveness."
