III. OTHER DISCLOSURES,"31.12.2019
KShs. '000
Audited","31.12.2020
KShs. '000
Audited"
1) NON-PERFORMING LOANS AND ADVANCES,,
a) Gross non-performing loans and advances,"20,057,683","22,337,323"
Less,,
b) Interest in suspense,"7,788,053","9,125,052"
c) Net Non-Performing Loans and Advances (a-b),"12,269,630","13,212,271"
Less,,
d) Loan loss Provisions,"8,004,255","8,875,775"
e) Net Non-Performing Loans (c-d),"4,265,375","4,336,496"
f) Realizable Value of Securities,"3,218,283","3,798,832"
g) Net NPLs Exposure (e-f),"1,047,092","537,664"
2) INSIDER LOANS AND ADVANCES,,
"a) Directors, shareholders and associates","47,149","90,944"
b) Employees,"7,066,418","6,640,032"
"c) Total Insider Loans, Advances and Other Facilities","7,113,567","6,730,976"
3) OFF-BALANCE SHEET ITEMS,,
"a) Letters of credit, guarantees, acceptances","52,218,765","66,035,541"
"b) Forwards, swaps, and options","78,653,950","55,669,313"
c) Other contingent Liabilities,-,-
d) Total Contingent Liabilities,"130,872,715","121,704,854"
4) CAPITAL STRENGTH,,
a) Core Capital,"35,701,874","39,240,034"
b) Minimum Statutory Capital,"1,000,000","1,000,000"
c) Excess/ (Deficiency),"34,701,874","38,240,034"
d) Supplementary Capital,"7,336,051","6,435,788"
e) Total capital (a+d),"43,037,925","45,675,822"
f) Total risk weighted assets,"242,802,511","247,250,634"
g) Core capital/total deposit liabilities,15.63%,15.30%
h) Minimum Statutory Ratio,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.63%,7.30%
j)Core capital/total risk weighted assets,14.70%,15.87%
k) Minimum Statutory Ratio,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),4.20%,5.37%
m)Total capital/total risk weighted assets,17.73%,18.47%
n) Minimum Statutory Ratio,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),3.23%,3.97%
(p) Adjusted Core Capital/Total Deposit Liabilities*,15.68%,15.34%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,14.75%,15.91%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,17.77%,18.52%
5) LIQUIDITY,,
a) Liquidity Ratio,62.57%,71.49%
b) Minimum Statutory Ratio,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),42.57%,51.49%
