STATEMENT OF COMPREHENSIVE INCOME,Column,Column,Column
,,"3,937,483 12,731,113 5,963,304
2,534,871 10,298,361 4,808,830
1,123,376 2,422,813 744,021
- 20,757 3,952",
,"8,013,343",,"8,013,343"
,"4,817,164",,"4,817,164"
,"2,540,168",,"2,540,168"
,-,,-
,"15,370,675","7,595,730 25,473,044 11,520,107","15,370,675"
,,"655,834 2,611,514 1,351,196
47,174 279,267 29,987
- 376,211 132,910",
,"1,158,725",,"1,157,420"
,"112,998",,"112,998"
,"248,829",,"248,829"
,"1,520,552","703,008 3,266,992 1,514,093","1,519,247"
,"13,850,123","6,892,722 22,206,052 10,006,014","13,851,428"
,,"78,239 221,886 131,378
821,656 2,641,955 1,491,605
2,189,804 5,973,243 2,268,093
- 1,160,323 210,023
279,221 1,306,877 738,981",
,"131,826",,"131,826"
,"1,842,710",,"2,700,154"
,"4,455,712",,"4,455,712"
,"264,102",,-
,"(261,046)",,"(261,046 )"
,"6,433,304","3,368,920 11,304,284 4,840,080","7,026,646"
,"20,283,427","10,261,642 33,510,336 14,846,094","20,878,074"
,,"790,917 1,328,458 108,187
1,871,691 6,689,167 3,528,817
65,274 251,595 124,161
104,494 257,877 89,280
97,181 435,961 243,780
245,904 820,529 401,975
1,816,576 6,588,335 3,250,377",
,"2,035,587",,"2,035,587"
,"4,004,824",,"4,057,043"
,"131,563",,"132,003"
,"131,899",,"131,899"
,"194,111",,"194,111"
,"492,096",,"492,096"
,"3,980,344",,"4,191,270"
,"10,970,424","4,992,037 16,371,922 7,746,577","11,234,009"
,"9,313,003","5,269,605 17,138,414 7,099,517
- - -","9,644,065"
,-,,-
,"9,313,003","5,269,605 17,138,414 7,099,517
(746,874) (5,695,664) (2,277,753)
(753,291) 994,174 326,613","9,644,065"
,"(1,240,251)",,"(1,391,371)"
,"(1,321,645)",,"(1,343,315)"
,"6,751,107","3,769,440 12,436,924 5,148,377","6,909,379"
,,"- - -
123,962 (2,054,052) (956,695)
- - -
- - -
(37,190) 616,215 287,008",
,-,,-
,"297,348",,"297,348"
,-,,-
,-,,-
,"(89,204)",,"(89,204)"
,"208,144","86,772 (1,437,837) (669,687)","208,144"
,"6,959,251","3,856,212 10,999,087 4,478,690","7,117,523"
,17.65,"9.87 32.47 13.18
- 22.00 -",18.07
,-,,-
