"2022
KShs‘000","2021
KShs‘000","2022
KShs‘000",Column
"25,473,044","22,284,551","25,473,044",
"(3,690,859)","(3,873,685)","(3,707,871)",
"21,782,185","18,410,866","21,765,173",
"6,437,058","6,429,720","4,827,036","4,773,726"
"(1,963,195)","(993,498)","(1,963,195)","(993,498)"
"4,473,863","5,436,222","2,863,841",
"5,973,243","3,770,297","5,973,243","3,770,297"
"634,073","532,630","634,073","532,630"
"6,607,316","4,302,927","6,607,316",
-,-,"1,160,323",
"229,570","152,487","229,570",
"33,092,934","28,302,502","32,626,223",
"(7,041,047)","(6,537,068)","(6,940,762)","(6,434,458)"
"(568,109)","(425,924)","(566,410)","(423,322)"
"(6,209,273)","(5,739,818)","(5,809,331)","(5,365,685)"
"(1,256,490)","(1,489,973)","(1,256,490)","(1,489,973)"
"(15,074,919)","(14,192,783)","(14,572,993)",
"18,018,015","14,109,719","18,053,230",
"(784,623)","(1,492,838)","(784,623)",
"(130,193)","(18,828)","(130,193)",
"17,103,199","12,598,053","17,138,414",
"(5,045,264)","(3,554,214)","(4,701,490)",
"12,057,935","9,043,839","12,436,924",
KShs,KShs,KShs,
31.47,23.49,32.47,
