Name,Development Programs
K. Kariuki,Leading the Board Program offered by Strathmore University
I. Khan,Inquiry Driven Leadership offered by MIT Sloan School of Management
N. Sharma,The Effective Director Program offered by Strathmore University
K. Ngari,The Fast Forward Leadership Program
,Leadership Re imagined Programme offered by PWC
