Note,Column,Page
1,Reporting entity,98
2,Significant accounting policies,98
3,Financial assets and liabilities,105
4,Financial risk management and capital review,119
5,Segmental information,147
6,Net interest income,150
7,Net fee and commission income,151
8,Net trading income,152
9,Dividend income,153
10,Other operating income,153
11,Operating expenses,154
12,Profit before tax,156
13,Tax,156
14,Earnings per ordinary share,158
15,Dividends,159
16,Cash and balances with Central Bank of Kenya,160
17,Government and other securities held at FVTPL,160
18,Derivative financial instruments,161
19,Loans and advances to banks,162
20,Loans and advances to customers,162
21,Government securities held at FVOCI,164
22,Other assets,165
23,Group company balances,165
24,Investment in subsidiary undertakings,166
25,Business combination,167
26,Non-current asset held for sale,168
27,Property and equipment,169
28,Goodwill and intangible assets,175
29,Deferred tax,177
30,Deposits from banks,178
31,Deposits from customers,179
32,Other liabilities,179
33,Contingent liabilities and commitments,179
34,Leases,181
35,Retirement benefit obligations,182
36,Share capital and reserves,185
37,Statement of cash flows,187
38,Assets pledged as security,188
39,Fiduciary activities,188
40,Related party transactions,188
41,Holding company,189
42,Current/Non-current distinction,190
43,Events after period end,191
