III. OTHER DISCLOSURES,"30.06.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited","30.06.2021
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,,
a) Gross non-performing loans and advances,"20,902,985","22,337,323","22,292,855","22,864,566"
Less,,,,
b) Interest in suspense,"8,287,008","9,125,052","9,314,124","9,617,092"
c) Net Non-Performing Loans and Advances (a-b),"12,615,977","13,212,271","12,978,731","13,247,474"
Less,,,,
d) Loan loss Provisions,"8,064,247","8,875,775","8,773,496","8,995,528"
e) Net Non-Performing Loans (c-d),"4,551,730","4,336,496","4,205,235","4,251,946"
f) Realizable Value of Securities,"3,319,354","3,798,832","3,558,902","3,644,401"
g) Net NPLs Exposure (e-f),"1,232,376","537,664","646,333","607,545"
2) INSIDER LOANS AND ADVANCES,,,,
"a) Directors, shareholders and associates","91,250","90,944","63,410","76,575"
b) Employees,"6,503,774","6,640,032","6,481,240","6,486,036"
"c) Total Insider Loans, Advances and Other Facilities","6,595,024","6,730,976","6,544,650","6,562,611"
3) OFF-BALANCE SHEET ITEMS,,,,
"a) Letters of credit,guarantees, acceptances","58,767,950","66,035,541","67,797,150","71,560,347"
"b) Forwards, swaps, and options","57,432,884","55,669,313","55,895,187","53,255,374"
c) Other contingent Liabilities,-,-,-,-
d) Total Contingent Liabilities,"116,200,834","121,704,854","123,692,337","124,815,721"
4) CAPITAL STRENGTH,,,,
a) Core Capital,"40,128,004","39,240,034","39,938,447","42,114,703"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"39,128,004","38,240,034","38,938,447","41,114,703"
d) Supplementary Capital,"6,832,330","6,435,788","6,015,999","6,330,153"
e) Total capital (a+d),"46,960,334","45,675,822","45,954,446","48,444,856"
f) Total risk weighted assets,"254,848,969","247,250,634","250,621,116","265,104,656"
g) Core capital/total deposit liabilities,15.64%,15.30%,15.06%,15.14%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.64%,7.30%,7.06%,7.14%
j)Core capital/total risk weighted assets,15.75%,15.87%,15.94%,15.89%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),5.25%,5.37%,5.44%,5.39%
m)Total capital/total risk weighted assets,18.43%,18.47%,18.34%,18.27%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),3.93%,3.97%,3.84%,3.77%
(p) Adjusted Core Capital/Total Deposit Liabilities*,15.69%,15.34%,15.10%,15.18%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,15.79%,15.91%,15.98%,15.93%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,18.47%,18.52%,18.38%,18.31%
5) LIQUIDITY,,,,
a) Liquidity Ratio,66.77%,71.49%,74.70%,70.06%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),46.77%,51.49%,54.70%,50.06%
