2025,Column,Column,Column
"Corporate and
Investment
Banking
KShs ‘000","Wealth and Retail
Banking
KShs ‘000","Central &
Other items
KShs ‘000","Total
KShs ‘000"
"11,924,081","16,784,828","182,933","28,891,842"
"5,730,191","7,525,876","(261,127)","12,994,940"
"17,654,272","24,310,704","(78,194)","41,886,782"
"(9,645,074)","(10,831,357)","(2,793,772)","(23,270,203)"
"8,009,198","13,479,347","(2,871,966)","18,616,579"
"256,569","(2,129,244)","131,150","(1,741,525)"
"(13,012)","(21,692)","(3,656)","(38,360)"
"8,252,755","11,328,411","(2,744,472)","16,836,694"
