"2025
KShs '000","2024
KShs '000","2025
KShs '000",Column
"12,436,571","20,060,587","12,628,768",
"75,842","(39,797)","75,842","(39,797)"
"(22,753)","11,939","(22,753)","11,939"
"53,089","(27,858)","53,089",
"(1,131,956)","1,911,651","(1,131,956)","1,911,651"
"339,586","(573,495)","339,586","(573,495)"
"(10,825)","1,252,258","(10,825)","1,252,258"
"3,248","(375,677)","3,248","(375,677)"
"64,971","(247,109)","64,971","(247,109)"
,–,,–
"(19,491)","74,133","(19,491)","74,133"
"(754,467)","2,041,761","(754,467)",
"(701,378)","2,013,903","(701,378)",
"11,735,193","22,074,490","11,927,390",
