Abbreviation,Description
AfCFTA,African Continental Free Trade Agreement
ASEAN,Association of South East Asian Nations
ATM,Automated teller machine
AUM,Assets under management
bn,Billions
CAGR,Compound annual growth rate
CAR,Capital adequacy ratio
CASA,Current Accounts and Savings Accounts
DFI,Development finance institution
EPS,Earnings per share
FX / Forex,Foreign exchange
G10,The Group of Ten
GDP,Gross Domestic Product
K,Thousands
KES,Kenya shilling
mn,Millions
NSE,Nairobi Securities Exchange
SC / SCB,Standard Chartered
SCBK,Standard Chartered Bank Kenya Limited
SME,Small to Medium Enterprise
YoY,Year-on-year
