Assets at fair value,Column,Column,Column,Column,Column
Trading,"Non-trading
mandatorily
at fair value
through profit
or loss","Fair value
through other
comprehensive
income","Total financial
assets at fair
value","Assets held at
amortised cost",Total
–,–,–,–,"32,339,549","32,339,549"
"774,509","44,306",–,"818,815",–,"818,815"
"774,509",–,–,"774,509",–,"774,509"
–,"44,306",–,"44,306",–,"44,306"
"3,231,435",–,–,"3,231,435",–,"3,231,435"
–,–,–,–,"1,157,643","1,157,643"
–,–,–,–,"151,647,379","151,647,379"
–,–,"98,002,713","98,002,713",–,"98,002,713"
–,–,–,–,"6,094,750","6,094,750"
–,–,–,–,"78,564,954","78,564,954"
"4,005,944","44,306","98,002,713","102,052,963","269,804,275","371,857,238"
