Scheduled,Ad Hoc
7/7,1/1
4/4,1/1
7/7,1/1
6/7,1/1
7/7,1/1
3/3,N/A
6/7,N/A
7/7,
7/7,N/A
7/7,N/A
7/7,N/A
3/7,N/A
