CONTENTS,Column,Column
Section,Note,Page
Basis of preparation,1,Reporting entity 84
,2,Significant accounting policies 84
,3,Financial assets and liabilities 91
Risk Review,4,Financial risk management and capital review 111
Performance/return,5,Segmental information 146
,6,Net interest income 150
,7,Net fee and commission income 151
,8,Net trading income 152
,9,Dividend income 152
,10,Other operating income 152
,11,Operating expenses 153
,12,Profit before taxation 155
,13,Taxation 156
,14,Earnings per ordinary share 158
,15,Dividends 158
Financial assets,16,Cash and balances with Central Bank of Kenya 159
,17,Government and other securities held at FVTPL 160
,18,Derivative financial instruments 160
,19,Loans and advances to banks 162
,20,Loans and advances to customers 162
,21,Investment securities 164
Other assets,22,Other assets 166
Group company balances,23,Group company balances 166
Scope of consolidation,24,Investment in subsidiary undertakings 167
,25,Business combination 167
Non-financial assets,26,Property and equipment 169
,27,Goodwill and intangible assets 173
,28,Prepaid operating lease rentals 175
,29,Deferred tax 175
Financial liabilities,30,Deposits from banks 177
,31,Deposits from customers 177
"Accruals, contingent liabilities
and commitments",32,Other liabilities 178
,33,Contingent liabilities and commitments 178
,34,Leases 180
Employee benefits,35,Retirement benefit obligations 182
Equity and reserves,36,Share capital and reserves 185
Cash flow statement,37,Statement of cash flows 189
Other disclosure matters,38,Assets pledged as security 190
,39,Fiduciary activities 190
,40,Related party transactions 191
,41,Holding company 192
